alpha,gen_error
0.0,0.5849756569798746
0.0625,0.5843271788812764
0.125,0.5834411704371758
0.1875,0.5841458338923836
0.25,0.5784702115464376
0.3125,0.5874128951216233
0.375,0.5908169279305303
0.4375,0.5549054593102759
0.5,0.4725599407910743
0.5625,0.3770265772449534
0.625,0.3001588075886262
0.6875,0.2404559458460032
0.75,0.2054596889922188
0.8125,0.1840042022135637
0.875,0.1628542563306462
0.9375,0.15204252475218893
1.0,0.14370831268090817
1.0625,0.1361410805308254
1.125,0.12999479499456443
1.1875,0.12128936048124529
1.25,0.11667110363062329
1.3125,0.11161167314817247
1.375,0.1061489926757768
1.4375,0.10057491332648912
1.5,0.0977731757365553
1.5625,0.09551362671395895
1.625,0.09371748702223848
1.6875,0.090564976108122
1.75,0.0891716449742239
1.8125,0.08665048212259818
1.875,0.08643279862713567
1.9375,0.08432369870237369
2.0,0.08330255198251221
2.0625,0.08331761630331404
2.125,0.08226766152639862
2.1875,0.08216093166618896
2.25,0.08055844264457905
2.3125,0.07949326612151697
2.375,0.07809164174904266
2.4375,0.0782956170581082
2.5,0.07890963145747046
2.5625,0.07772346115684943
2.625,0.07600163678117194
2.6875,0.07585326177863456
2.75,0.076657021455768
2.8125,0.07612236335551027
2.875,0.07511244319613518
2.9375,0.074726974485367
3.0,0.07403265889743416
